longitude	latitude	flightaltitude	timediff, dayfrac	timediff, hh:mm:ss	day=0/night=1
-139.43	28.7	10363.2	-0.0956250000745058	-02:17:42	0
-141.28	28	10363.2	-0.0955555555410683	-02:17:36	1
-149.08	30.05	10972.8	-0.0955208335071802	-02:17:33	0
-139.43	28.7	12192	-0.0954861110076308	-02:17:30	0
-156.42	22.4	11582.4	-0.0954513889737427	-02:17:27	0
-144.71	26.62	10972.8	-0.0954166664741933	-02:17:24	1
-156.42	22.4	10881.36	-0.0953703704290092	-02:17:20	0
-142.6	29.12	10058.4	-0.0953356479294598	-02:17:17	0
-156.43	22.42	7620	-0.0952893518842757	-02:17:13	0
-153.05	21.3	10972.8	-0.0952777778729796	-02:17:12	0
-153.42	22.72	10363.2	-0.0952662038616836	-02:17:11	0
-132.64	32.22	10668	-0.0952430553734303	-02:17:09	0
-153.08	21.22	9753.6	-0.0952314813621342	-02:17:08	0
-149.08	30.05	10972.8	-0.0952083333395422	-02:17:06	0
-149.02	30.1	10972.8	-0.0951273147948086	-02:16:59	0
-122.16	33.53	11277.6	-0.0950694442726672	-02:16:54	0
-149.85	26.87	11277.6	-0.0950694442726672	-02:16:54	0
-156.78	21.57	7345.68	-0.0950347222387791	-02:16:51	1
-156.35	22.22	9753.6	-0.0949884261935949	-02:16:47	0
-146.45	25.88	10972.8	-0.0949074071832001	-02:16:40	0
-156.78	21.8	7498.08	-0.094861111138016	-02:16:36	1
-154.87	22.28	10363.2	-0.0948032406158745	-02:16:31	0
-156.58	22.33	8321.04	-0.0947685185819864	-02:16:28	1
-140.7	30.4	11277.6	-0.0947685181163251	-02:16:28	1
-141.92	31.98	10972.8	-0.0947453705593944	-02:16:26	0
-149.08	30.05	10668	-0.0947453700937331	-02:16:26	0
-155.13	23.67	10972.8	-0.0945833334699273	-02:16:12	0
-138.03	29.2	10058.4	-0.09457175899297	-02:16:11	0
-122.9	35.85	10972.8	-0.0943749998696148	-02:15:54	0
-154.93	22.83	8534.4	-0.0943518518470228	-02:15:52	1
-139.25	27.77	11887.2	-0.0943402778357267	-02:15:51	0
-136.96	31.02	11277.6	-0.0943171298131347	-02:15:49	0
-154.93	22.25	10972.8	-0.0942013887688518	-02:15:39	0
-156.73	21.75	7406.64	-0.0941782407462597	-02:15:37	1
-139.43	28.7	9448.8	-0.0937731484882534	-02:15:02	0
-156.45	22.98	7620	-0.0937268519774079	-02:14:58	1
-155.2	23.57	8534.4	-0.0936458334326744	-02:14:51	0
-143.7	27.04	9753.6	-0.0936458329670131	-02:14:51	0
-141.86	32.01	10363.2	-0.0936342594213784	-02:14:50	0
-156.45	22.47	10424.16	-0.0935763888992369	-02:14:45	0
-126.18	36.68	10972.8	-0.0935648148879409	-02:14:44	0
-155.37	24.67	10972.8	-0.0935532408766449	-02:14:43	0
-122.19	33.62	11582.4	-0.0934259262867272	-02:14:32	0
-156.43	22.22	8229.6	-0.0933680552989244	-02:14:27	0
-153.48	22.72	9144	-0.0933333332650363	-02:14:24	0
-156.53	22.75	9144	-0.0932986112311482	-02:14:21	0
-156.82	21.63	7315.2	-0.0932407407090068	-02:14:16	1
-120.71	33.7	10607.04	-0.0932291666977108	-02:14:15	0
-142.26	27.62	11582.4	-0.0931250001303852	-02:14:06	0
-119.13	33.55	7498.08	-0.0930902776308358	-02:14:03	0
-156.38	23.1	7620	-0.0930324075743556	-02:13:58	1
-155.13	23.62	11277.6	-0.0929976850748062	-02:13:55	0
-153.35	22.73	10972.8	-0.0929861110635102	-02:13:54	1
-156.7	21.92	7101.84	-0.0929861110635102	-02:13:54	1
-134.48	32.96	10668	-0.0929629630409181	-02:13:52	0
-156.58	22.25	9570.72	-0.0929398145526648	-02:13:50	1
-156.73	21.8	8503.92	-0.0929050925187767	-02:13:47	1
-153.4	22.77	9753.6	-0.0928587964735925	-02:13:43	0
-150.39	28.98	9448.8	-0.0928240739740431	-02:13:40	1
-149.08	30.05	10972.8	-0.0928124999627471	-02:13:39	0
-138.99	26.72	12496.8	-0.092777777928859	-02:13:36	0
-137.57	33.41	10668	-0.0927083333954215	-02:13:30	0
-156.5	22.12	7863.84	-0.0926736113615334	-02:13:27	0
-153.12	21.28	9448.8	-0.0926736108958721	-02:13:27	0
-155.17	23.52	11277.6	-0.092638888861984	-02:13:24	0
-156.72	24.05	10972.8	-0.0926041668280959	-02:13:21	0
-143.9	33.94	10972.8	-0.0925000002607703	-02:13:12	0
-156.27	21.82	8503.92	-0.092476851772517	-02:13:10	0
-126.59	32.59	10972.8	-0.0923495371825993	-02:12:59	0
-152.01	23.3	10972.8	-0.0923263891600072	-02:12:57	0
-145.53	28.1	10668	-0.0922685186378658	-02:12:52	0
-145.75	29.05	10972.8	-0.0922106481157243	-02:12:47	0
-153.42	22.72	10668	-0.0921527775935829	-02:12:42	0
-156.73	23.93	10972.8	-0.0919097224250436	-02:12:21	0
-140.91	29.76	8229.6	-0.0918749999254942	-02:12:18	1
-142.3	27.61	11887.2	-0.0918634259141982	-02:12:17	0
-139.43	28.7	9753.6	-0.0918287038803101	-02:12:14	0
-142.68	29.09	11277.6	-0.0918171294033527	-02:12:13	0
-139.43	28.7	11582.4	-0.0917592593468726	-02:12:08	0
-120.81	34.03	9966.96	-0.091666666790843	-02:12:00	0
-156.08	20.87	7924.8	-0.0916435183025897	-02:11:58	0
-153.37	22.72	10972.8	-0.0915740742348135	-02:11:52	0
-139.43	28.7	12192	-0.091516203712672	-02:11:47	0
-139.43	28.7	12192	-0.091504629701376	-02:11:46	0
-129.42	31.86	11887.2	-0.0914236111566424	-02:11:39	0
-134.39	32.99	11277.6	-0.091377314645797	-02:11:35	0
-130.41	29.44	10363.2	-0.091365740634501	-02:11:34	0
-132.85	32.93	10363.2	-0.0912847220897675	-02:11:27	0
-155.17	23.58	12192	-0.0912500000558794	-02:11:24	0
-149.08	30.05	11582.4	-0.0910879629664123	-02:11:10	0
-120.68	33.71	9113.52	-0.0910879629664123	-02:11:10	0
-154.27	25.63	10668	-0.0910416664555669	-02:11:06	1
-133.74	30.62	10363.2	-0.0910069444216788	-02:11:03	0
-152.3	27.38	10972.8	-0.0910069444216788	-02:11:03	1
-156.58	23.07	11582.4	-0.0909953704103827	-02:11:02	0
-154.9	22.85	11277.6	-0.0909953704103827	-02:11:02	1
