lon	lat	alt
-148.73601	22.766083	10972.8
-149.16136	24.536966	11277.6
-126.50174	32.598007	10363.2
-149.18025	24.61484	10363.2
-125.92373	30.433048	10363.2
-142.98854	27.331732	10058.4
-136.553	29.707527	10972.8
-136.03151	27.668468	10972.8
-136.553	29.707527	10363.2
-123.60026	33.268856	10668
-146.40831	25.89488	10668
-123.60227	33.276188	9753.6
-146.40854	25.89586	9753.6
-146.40854	25.89581	9753.6
-133.70871	30.628033	10363.2
-156.24686	21.823187	9692.64
-133.70848	30.627209	10668
-133.70848	30.627209	9753.6
-143.61868	27.08479	11582.4
-120.637886	33.71187	10149.84
-143.61607	27.074389	10668
-120.606064	33.597866	9753.6
-143.61646	27.075966	9753.6
-143.61879	27.085272	10668
-136.19255	29.78247	9753.6
-130.79404	31.273184	10972.8
-153.3672	22.69169	10972.8
-130.79138	31.26322	9753.6
-153.37917	22.742052	9753.6
-130.83853	31.439985	10363.2
-121.26118	33.619473	9296.4
-148.18753	25.102133	9753.6
-140.81123	28.188437	10972.8
-141.55602	31.060894	11277.6
-140.81116	28.188116	9753.6
-140.81128	28.188604	9753.6
-132.8146	30.89885	9144
-127.96262	32.222485	10668
-150.54619	23.801289	10972.8
-127.96521	32.232044	10363.2
-150.52179	23.699368	10668
-127.965034	32.231407	9753.6
-144.72997	26.612251	10363.2
-137.98715	29.21505	10972.8
-137.98715	29.21505	9753.6
-137.98715	29.21505	11277.6
-137.98744	29.216145	10058.4
-147.80234	25.215517	11277.6
-125.06946	32.933926	10668
-147.81308	25.25951	10668
-125.06942	32.93377	10363.2
-147.8137	25.262081	10363.2
-135.14917	30.173294	10363.2
-135.14917	30.173294	10972.8
-135.14874	30.171654	10668
-135.14917	30.173294	9753.6
-145.02905	26.488813	11277.6
-122.15314	33.553047	10668
-145.02837	26.486061	10668
-145.68481	29.083628	11582.4
-137.88904	29.248087	12192
-137.88869	29.249516	9448.8
-132.294	31.053226	10972.8
-154.82782	22.280493	10972.8
-132.27908	30.996521	10058.4
-154.83247	22.300138	10058.4
-132.294	31.053226	9753.6
-122.88939	33.360344	9144
-149.94313	24.28339	9753.6
-142.22887	27.636925	10972.8
-142.2287	27.636295	10668
-142.22937	27.636028	10058.4
-134.50665	30.37925	10363.2
-129.41527	31.836678	10363.2
-151.95184	23.173254	10363.2
-119.68053	33.79631	5059.68
-146.46825	25.868326	9753.6
-139.41267	28.707352	10972.8
-139.41267	28.707352	10363.2
-139.41267	28.707352	10668
-139.4126	28.707043	10363.2
-126.530235	32.58805	10972.8
-126.52992	32.586987	10363.2
-149.18117	24.492052	10363.2
-126.53068	32.589645	10363.2
-149.1936	24.543867	10668
-149.1967	24.556894	10058.4
-136.58023	29.699501	10363.2
-136.56999	29.660124	10363.2
-136.57997	29.698427	11277.6
-136.57996	29.698431	10363.2
-136.57573	29.682068	10058.4
-136.58023	29.699501	10363.2
-146.43315	25.884272	11887.2
-123.624565	33.25567	10363.2
-146.43277	25.882763	10363.2
-139.59604	28.643398	9753.6
-133.73277	30.621376	10668
-133.73277	30.621376	10363.2
-156.27023	21.814068	9784.08
-133.73277	30.621376	9753.6
-156.27185	21.820944	9753.6
-133.73277	30.621376	9753.6
-124.52228	33.06546	9144
-143.63782	27.067694	10972.8
